FLT,FLT_next,REG,ITY,NAT,PAX,DES,ORG,start_time,end_time,arrival,towing,departure,stand,f,start,end,CGMS,prev,next
2Y924,2Y923,PKMYI,B73X,CGO,0.0,SRG,SRG,2019-05-13 00:05:00,2019-05-13 04:40:00,1.0,0.0,1.0,605,0.0,5.0,280.0,308,arr,dpt
3K763,3K763,9VJSQ,A320,PAX,0.0,KIX,,2019-05-13 00:00:00,2019-05-13 02:50:00,1.0,0.0,1.0,C13,0.0,0.0,170.0,C13,arr,dpt
3K764,3K161,9VJSQ,A320,PAX,0.0,DRW,KIX,2019-05-13 21:25:00,2019-05-13 23:05:00,1.0,0.0,1.0,C16,0.0,1285.0,1385.0,D47,arr,dpt
3K162,3K697,9VJSI,A320,PAX,0.0,HKG,DRW,2019-05-13 09:05:00,2019-05-13 10:00:00,1.0,0.0,1.0,D35,0.0,545.0,600.0,C24,arr,dpt
3K698,3K551,9VJSI,A320,PAX,0.0,SGN,HKG,2019-05-13 18:40:00,2019-05-13 19:50:00,1.0,0.0,1.0,C24,0.0,1120.0,1190.0,C17L,arr,dpt
3K552,3K201,9VJSL,A320,PAX,0.0,CGK,SGN,2019-05-13 00:40:00,2019-05-13 08:15:00,1.0,0.0,1.0,C22,0.0,40.0,495.0,D35,arr,dpt
3K202,3K823,9VJSL,A320,PAX,0.0,SWA,CGK,2019-05-13 12:40:00,2019-05-13 13:40:00,1.0,0.0,1.0,C22,0.0,760.0,820.0,D37,arr,dpt
3K824,3K824,9VJSL,A320,PAX,0.0,,SWA,2019-05-13 23:05:00,2019-05-13 23:59:00,1.0,0.0,0.0,D44,0.0,1385.0,1439.0,D32,arr,tow
3K663,3K663,9VJSS,A320,PAX,0.0,KUL,,2019-05-13 00:00:00,2019-05-13 09:35:00,1.0,0.0,1.0,C17L,0.0,0.0,575.0,D47,arr,dpt
3K664,3K203,9VJSS,A320,PAX,0.0,CGK,KUL,2019-05-13 12:30:00,2019-05-13 13:35:00,1.0,0.0,1.0,C18,0.0,750.0,815.0,C17R,arr,dpt
3K204,3K537,9VJSS,A320,PAX,0.0,HKT,CGK,2019-05-13 18:00:00,2019-05-13 19:50:00,1.0,0.0,1.0,D30,0.0,1080.0,1190.0,C24,arr,dpt
3K240,3K761,9VJSH,A320,PAX,0.0,MNL,DPS,2019-05-13 02:00:00,2019-05-13 06:15:00,1.0,0.0,1.0,C11,0.0,120.0,375.0,C11,arr,dpt
3K762,3K283,9VJSH,A320,PAX,0.0,KNO,MNL,2019-05-13 14:15:00,2019-05-13 15:15:00,1.0,0.0,1.0,C11,0.0,855.0,915.0,D46,arr,dpt
3K284,3K205,9VJSH,A320,PAX,0.0,CGK,KNO,2019-05-13 18:55:00,2019-05-13 20:00:00,1.0,0.0,1.0,C18,0.0,1135.0,1200.0,C16,arr,dpt
3K206,3K791,9VJSP,A320,PAX,0.0,OKA,CGK,2019-05-13 00:25:00,2019-05-13 02:00:00,1.0,0.0,1.0,D36,0.0,25.0,120.0,D44,arr,dpt
3K792,3K245,9VJSP,A320,PAX,0.0,DPS,OKA,2019-05-13 13:10:00,2019-05-13 15:50:00,1.0,0.0,1.0,D36,0.0,790.0,950.0,D36,arr,dpt
3K246,3K246,9VJSP,A320,PAX,0.0,,DPS,2019-05-13 22:05:00,2019-05-13 23:59:00,1.0,0.0,0.0,D36,0.0,1325.0,1439.0,C11,arr,tow
3K779,3K779,9VJSB,A320,PAX,0.0,CRK,,2019-05-13 00:00:00,2019-05-13 02:20:00,1.0,0.0,1.0,D47,0.0,0.0,140.0,C18,arr,dpt
3K780,3K241,9VJSB,A320,PAX,0.0,DPS,CRK,2019-05-13 10:20:00,2019-05-13 10:55:00,1.0,0.0,1.0,D30,0.0,620.0,655.0,D35,arr,dpt
3K242,3K513,9VJSB,A320,PAX,0.0,BKK,DPS,2019-05-13 17:10:00,2019-05-13 19:15:00,1.0,0.0,1.0,C19,0.0,1030.0,1155.0,D48,arr,dpt
3K281,3K281,9VJSK,A320,PAX,0.0,KNO,,2019-05-13 00:00:00,2019-05-13 08:15:00,1.0,0.0,1.0,C16,0.0,0.0,495.0,D38,arr,dpt
3K248,3K775,9VJSK,A320,PAX,0.0,CRK,SUB,2019-05-13 16:40:00,2019-05-13 20:00:00,1.0,0.0,1.0,D40L,0.0,1000.0,1200.0,C11,arr,dpt
3K514,3K511,9VJSA,A320,PAX,0.0,BKK,BKK,2019-05-13 00:45:00,2019-05-13 07:20:00,1.0,0.0,1.0,C15,0.0,45.0,440.0,C15,arr,dpt
3K512,3K557,9VJSA,A320,PAX,0.0,SGN,BKK,2019-05-13 12:50:00,2019-05-13 13:45:00,1.0,0.0,1.0,D44,0.0,770.0,825.0,C22,arr,dpt
3K558,3K687,9VJSA,A320,PAX,0.0,KUL,SGN,2019-05-13 18:30:00,2019-05-13 19:35:00,1.0,0.0,1.0,D37,0.0,1110.0,1175.0,C17R,arr,dpt
3K688,3K688,9VJSA,A320,PAX,0.0,,KUL,2019-05-13 22:30:00,2019-05-13 23:59:00,1.0,0.0,0.0,D47,0.0,1350.0,1439.0,D35,arr,tow
3K683,3K683,9VJSM,A320,PAX,0.0,KUL,,2019-05-13 00:00:00,2019-05-13 07:05:00,1.0,0.0,1.0,C19,0.0,0.0,425.0,D44,arr,dpt
3K684,3K515,9VJSM,A320,PAX,0.0,BKK,KUL,2019-05-13 10:00:00,2019-05-13 10:45:00,1.0,0.0,1.0,C26,0.0,600.0,645.0,C11,arr,dpt
3K516,3K535,9VJSM,A320,PAX,0.0,HKT,BKK,2019-05-13 16:15:00,2019-05-13 17:15:00,1.0,0.0,1.0,D30,0.0,975.0,1035.0,D47,arr,dpt
3K536,3K536,9VJSM,A320,PAX,0.0,,HKT,2019-05-13 21:35:00,2019-05-13 23:59:00,1.0,0.0,0.0,D42R,0.0,1295.0,1439.0,D48,arr,tow
3K555,3K555,9VJSN,A320,PAX,0.0,SGN,,2019-05-13 00:00:00,2019-05-13 07:10:00,1.0,0.0,1.0,C23,0.0,0.0,430.0,D48,arr,dpt
3K556,3K685,9VJSN,A320,PAX,0.0,KUL,SGN,2019-05-13 11:55:00,2019-05-13 12:50:00,1.0,0.0,1.0,D46,0.0,715.0,770.0,D47,arr,dpt
3K686,3K517,9VJSN,A320,PAX,0.0,BKK,KUL,2019-05-13 15:45:00,2019-05-13 16:50:00,1.0,0.0,1.0,D49,0.0,945.0,1010.0,C24,arr,dpt
3K518,3K518,9VJSN,A320,PAX,0.0,,BKK,2019-05-13 22:25:00,2019-05-13 23:59:00,1.0,0.0,0.0,D37,0.0,1345.0,1439.0,C17L,arr,tow
3K542,3K533,9VJSW,A320,PAX,0.0,HKT,DAD,2019-05-13 00:10:00,2019-05-13 07:55:00,1.0,0.0,1.0,D42L,0.0,10.0,475.0,C25,arr,dpt
3K534,3K593,9VJSW,A320,PAX,0.0,PNH,HKT,2019-05-13 12:25:00,2019-05-13 13:25:00,1.0,0.0,1.0,D35,0.0,745.0,805.0,C11,arr,dpt
3K594,3K677,9VJSW,A320,PAX,0.0,PEN,PNH,2019-05-13 18:25:00,2019-05-13 19:15:00,1.0,0.0,1.0,C16,0.0,1105.0,1155.0,D35,arr,dpt
3K678,3K678,9VJSW,A320,PAX,0.0,,PEN,2019-05-13 22:55:00,2019-05-13 23:59:00,1.0,0.0,0.0,D35,0.0,1375.0,1439.0,D38,arr,tow
3K538,3K817,9VJSV,A320,PAX,0.0,HAK,HKT,2019-05-13 00:50:00,2019-05-13 07:35:00,1.0,0.0,1.0,C26,0.0,50.0,455.0,C26,arr,dpt
3K818,3K765,9VJSV,A320,PAX,0.0,MNL,HAK,2019-05-13 15:30:00,2019-05-13 17:25:00,1.0,0.0,1.0,D35,0.0,930.0,1045.0,D37,arr,dpt
3K766,3K581,9VJSR,A320,PAX,0.0,RGN,MNL,2019-05-13 01:20:00,2019-05-13 08:55:00,1.0,0.0,1.0,D37,0.0,80.0,535.0,D34,arr,dpt
3K582,3K583,9VJSR,A320,PAX,0.0,RGN,RGN,2019-05-13 15:50:00,2019-05-13 16:55:00,1.0,0.0,1.0,D42R,0.0,950.0,1015.0,C11,arr,dpt
3K584,3K584,9VJSR,A320,PAX,0.0,,RGN,2019-05-13 23:50:00,2019-05-13 23:59:00,1.0,0.0,0.0,C16,0.0,1430.0,1439.0,D48,arr,tow
3K592,3K671,9VJSJ,A320,PAX,0.0,PEN,PNH,2019-05-13 00:30:00,2019-05-13 09:45:00,1.0,0.0,1.0,C17R,0.0,30.0,585.0,D37,arr,dpt
3K672,3K601,9VJSJ,A320,PAX,0.0,REP,PEN,2019-05-13 13:20:00,2019-05-13 13:55:00,1.0,0.0,1.0,C25,0.0,800.0,835.0,C17L,arr,dpt
3K602,3K602,9VJSJ,A320,PAX,0.0,,REP,2019-05-13 19:15:00,2019-05-13 23:59:00,1.0,0.0,0.0,C11,0.0,1155.0,1439.0,C19,arr,tow
3K722,3K721,9VJSO,A320,PAX,0.0,KIX,KIX,2019-05-13 01:10:00,2019-05-13 07:00:00,1.0,0.0,1.0,D32,0.0,70.0,420.0,C16,arr,dpt
3K723,3K723,9VJSF,A320,PAX,0.0,KIX,,2019-05-13 00:00:00,2019-05-13 01:10:00,1.0,0.0,1.0,C18,0.0,0.0,70.0,C11,arr,dpt
3K724,3K724,9VJSF,A320,PAX,0.0,,KIX,2019-05-13 20:15:00,2019-05-13 23:59:00,1.0,0.0,0.0,D46,0.0,1215.0,1439.0,D38,arr,tow
3U8093,3U8094,B8599,A321,PAX,0.0,CTU,CTU,2019-05-13 18:40:00,2019-05-13 19:40:00,1.0,0.0,1.0,E20,0.0,1120.0,1180.0,E27L,arr,dpt
5J537,5J538,RPC3237,A320,PAX,0.0,CRK,CRK,2019-05-13 16:00:00,2019-05-13 16:45:00,1.0,0.0,1.0,G2,0.0,960.0,1005.0,G17,arr,dpt
5J547,5J547,RPC3271,A320,PAX,0.0,,CEB,2019-05-13 23:40:00,2019-05-13 23:59:00,1.0,0.0,0.0,G3,0.0,1420.0,1439.0,G4,arr,tow
5J548,5J548,RPC3260,A320,PAX,0.0,CEB,,2019-05-13 00:00:00,2019-05-13 02:00:00,1.0,0.0,1.0,G11,0.0,0.0,120.0,G2,arr,dpt
5J803,5J804,RPC4114,A321,PAX,0.0,MNL,MNL,2019-05-13 00:05:00,2019-05-13 01:35:00,1.0,0.0,1.0,G14,0.0,5.0,95.0,G5,arr,dpt
5J805,5J806,RPC3344,A333,PAX,0.0,MNL,MNL,2019-05-13 17:25:00,2019-05-13 18:50:00,1.0,0.0,1.0,G19,1.0,1045.0,1130.0,G21,arr,dpt
5J813,5J814,RPC4117,A321,PAX,0.0,MNL,MNL,2019-05-13 09:35:00,2019-05-13 10:35:00,1.0,0.0,1.0,G11,0.0,575.0,635.0,G17,arr,dpt
5X169,5X166,N325UP,B762,CGO,0.0,SZX,HKG,2019-05-13 00:10:00,2019-05-13 21:40:00,1.0,0.0,1.0,601,1.0,10.0,1300.0,305,arr,dpt
6E41,6E35,VTIER,A320,PAX,0.0,TRZ,CCU,2019-05-13 12:55:00,2019-05-13 14:00:00,1.0,0.0,1.0,F59R,0.0,775.0,840.0,E8,arr,dpt
6E37,6E42,VTIAX,A320,PAX,0.0,CCU,TRZ,2019-05-13 01:45:00,2019-05-13 02:45:00,1.0,0.0,1.0,F50,0.0,105.0,165.0,F54,arr,dpt
6E51,6E52,VTIFI,A320,PAX,0.0,MAA,MAA,2019-05-13 11:15:00,2019-05-13 12:20:00,1.0,0.0,1.0,F36,0.0,675.0,740.0,F35L,arr,dpt
6E53,6E54,VTIEP,A320,PAX,0.0,MAA,MAA,2019-05-13 04:40:00,2019-05-13 05:40:00,1.0,0.0,1.0,F50,0.0,280.0,340.0,F59R,arr,dpt
6E73,6E58,VTIEH,A320,PAX,0.0,BLR,BLR,2019-05-13 04:25:00,2019-05-13 05:30:00,1.0,0.0,1.0,E27R,0.0,265.0,330.0,F56L,arr,dpt
8M231,8M232,XYAGV,A319,PAX,0.0,RGN,RGN,2019-05-13 12:50:00,2019-05-13 13:50:00,1.0,0.0,1.0,D38,0.0,770.0,830.0,C19,arr,dpt
9C8549,9C8550,B8647,A320,PAX,0.0,PVG,PVG,2019-05-13 22:10:00,2019-05-13 23:10:00,1.0,0.0,1.0,G12,0.0,1330.0,1390.0,G1,arr,dpt
AF256,AF257,FGSQI,B77W,PAX,0.0,CDG,CDG,2019-05-13 15:45:00,2019-05-13 22:35:00,1.0,0.0,1.0,D32,1.0,945.0,1355.0,C1,arr,dpt
AI342,AI347,VTCIO,A320,PAX,0.0,MAA,BOM,2019-05-13 07:50:00,2019-05-13 09:00:00,1.0,0.0,1.0,E1,0.0,470.0,540.0,E1,arr,dpt
AI346,AI343,VTCIO,A320,PAX,0.0,BOM,MAA,2019-05-13 17:55:00,2019-05-13 19:15:00,1.0,0.0,1.0,F32,0.0,1075.0,1155.0,F35L,arr,dpt
AI380,AI381,VTANA,B788,PAX,0.0,DEL,DEL,2019-05-13 07:30:00,2019-05-13 08:35:00,1.0,0.0,1.0,F60,1.0,450.0,515.0,E3,arr,dpt
AK1311,AK1310,9MAQU,A320,PAX,0.0,IPH,IPH,2019-05-13 11:00:00,2019-05-13 11:40:00,1.0,0.0,1.0,G20R,0.0,660.0,700.0,G12,arr,dpt
AK1721,AK1720,9MAHR,A320,PAX,0.0,PEN,PEN,2019-05-13 10:55:00,2019-05-13 11:25:00,1.0,0.0,1.0,G15,0.0,655.0,685.0,G10,arr,dpt
AK1723,AK1722,9MAHJ,A320,PAX,0.0,PEN,PEN,2019-05-13 13:20:00,2019-05-13 13:50:00,1.0,0.0,1.0,G8,0.0,800.0,830.0,G15,arr,dpt
AK1725,AK1724,9MAHJ,A320,PAX,0.0,PEN,PEN,2019-05-13 17:10:00,2019-05-13 17:35:00,1.0,0.0,1.0,G18L,0.0,1030.0,1055.0,G1,arr,dpt
AK1729,AK1730,9MAHJ,A320,PAX,0.0,PEN,PEN,2019-05-13 21:00:00,2019-05-13 21:40:00,1.0,0.0,1.0,G11,0.0,1260.0,1300.0,G7,arr,dpt
AK1727,AK1726,9MAQR,A320,PAX,0.0,PEN,PEN,2019-05-13 22:00:00,2019-05-13 22:30:00,1.0,0.0,1.0,G1,0.0,1320.0,1350.0,G4,arr,dpt
AK1757,AK1758,9MAJA,A320,PAX,0.0,MYY,MYY,2019-05-13 11:55:00,2019-05-13 12:25:00,1.0,0.0,1.0,G12,0.0,715.0,745.0,G8,arr,dpt
AK1775,AK1776,9MAGT,A320,PAX,0.0,KCH,KCH,2019-05-13 11:15:00,2019-05-13 11:45:00,1.0,0.0,1.0,G8,0.0,675.0,705.0,G4,arr,dpt
AK1791,AK1792,9MAQZ,A320,PAX,0.0,BKI,BKI,2019-05-13 17:10:00,2019-05-13 17:40:00,1.0,0.0,1.0,G6,0.0,1030.0,1060.0,G10,arr,dpt
AK1793,AK1794,9MAFW,A320,PAX,0.0,BKI,BKI,2019-05-13 11:30:00,2019-05-13 12:10:00,1.0,0.0,1.0,G14,0.0,690.0,730.0,G13,arr,dpt
AK701,AK700,9MAJT,A320,PAX,0.0,KUL,KUL,2019-05-13 07:15:00,2019-05-13 07:45:00,1.0,0.0,1.0,G17,0.0,435.0,465.0,G1,arr,dpt
AK713,AK712,9MAJT,A320,PAX,0.0,KUL,KUL,2019-05-13 13:40:00,2019-05-13 14:10:00,1.0,0.0,1.0,G10,0.0,820.0,850.0,G10,arr,dpt
AK703,AK702,9MAGV,A20N,PAX,0.0,KUL,KUL,2019-05-13 08:40:00,2019-05-13 09:10:00,1.0,0.0,1.0,G17,0.0,520.0,550.0,G4,arr,dpt
AK705,AK704,9MAJG,A320,PAX,0.0,KUL,KUL,2019-05-13 09:50:00,2019-05-13 10:30:00,1.0,0.0,1.0,G9,0.0,590.0,630.0,G11,arr,dpt
AK707,AK706,9MAFB,A320,PAX,0.0,KUL,KUL,2019-05-13 11:10:00,2019-05-13 11:40:00,1.0,0.0,1.0,G1,0.0,670.0,700.0,G15,arr,dpt
AK711,AK710,9MRAE,A320,PAX,0.0,KUL,KUL,2019-05-13 13:00:00,2019-05-13 13:30:00,1.0,0.0,1.0,G12,0.0,780.0,810.0,G14,arr,dpt
AK715,AK714,9MAHS,A320,PAX,0.0,KUL,KUL,2019-05-13 15:40:00,2019-05-13 16:10:00,1.0,0.0,1.0,G4,0.0,940.0,970.0,G2,arr,dpt
AK717,AK716,9MRAB,A20N,PAX,0.0,KUL,KUL,2019-05-13 18:30:00,2019-05-13 19:10:00,1.0,0.0,1.0,G5,0.0,1110.0,1150.0,G9,arr,dpt
AK719,AK718,9MNEO,A20N,PAX,0.0,KUL,KUL,2019-05-13 20:00:00,2019-05-13 20:45:00,1.0,0.0,1.0,G8,0.0,1200.0,1245.0,G5,arr,dpt
AK721,AK720,9MAQI,A320,PAX,0.0,KUL,KUL,2019-05-13 20:50:00,2019-05-13 21:20:00,1.0,0.0,1.0,G13,0.0,1250.0,1280.0,G11,arr,dpt
AK732,AK733,9MAJN,A320,PAX,0.0,LGK,LGK,2019-05-13 10:20:00,2019-05-13 10:55:00,1.0,0.0,1.0,G19R,0.0,620.0,655.0,G8,arr,dpt
AY131,AY132,OHLWM,A359,PAX,0.0,HEL,HEL,2019-05-13 16:30:00,2019-05-13 23:25:00,1.0,0.0,1.0,D34,1.0,990.0,1405.0,D49,arr,dpt
BA011,BA012,GXLEK,A388,PAX,0.0,LHR,LHR,2019-05-13 16:05:00,2019-05-13 23:15:00,1.0,0.0,1.0,C25,1.0,965.0,1395.0,C26,arr,dpt
BA015,BA015,GSTBF,B77W,PAX,0.0,SYD,LHR,2019-05-13 17:45:00,2019-05-13 19:25:00,1.0,0.0,1.0,C22,1.0,1065.0,1165.0,C22,arr,dpt
BA016,BA016,GSTBE,B77W,PAX,0.0,LHR,SYD,2019-05-13 21:05:00,2019-05-13 22:35:00,1.0,0.0,1.0,C24,1.0,1265.0,1355.0,C24,arr,dpt
BG084,BG085,S2AFL,B738,PAX,0.0,DAC,DAC,2019-05-13 14:40:00,2019-05-13 15:50:00,1.0,0.0,1.0,D48,0.0,880.0,950.0,D49,arr,dpt
BI421,BI422,V8RBE,A320,PAX,0.0,BWN,BWN,2019-05-13 11:20:00,2019-05-13 12:10:00,1.0,0.0,1.0,E28,0.0,680.0,730.0,F59R,arr,dpt
BI423,BI424,V8RBD,A320,PAX,0.0,BWN,BWN,2019-05-13 20:35:00,2019-05-13 21:25:00,1.0,0.0,1.0,F52R,0.0,1235.0,1285.0,E27R,arr,dpt
BL111,BL110,VNA571,A320,PAX,0.0,SGN,SGN,2019-05-13 10:10:00,2019-05-13 11:00:00,1.0,0.0,1.0,C18,0.0,610.0,660.0,C25,arr,dpt
BR215,BR216,B16726,B77W,PAX,0.0,TPE,TPE,2019-05-13 13:50:00,2019-05-13 15:10:00,1.0,0.0,1.0,A13,1.0,830.0,910.0,A11,arr,dpt
BR225,BR226,B16732,B77W,PAX,0.0,TPE,TPE,2019-05-13 12:00:00,2019-05-13 13:10:00,1.0,0.0,1.0,B7,1.0,720.0,790.0,B5,arr,dpt
CA403,CA404,B6793,A320,PAX,0.0,INC,INC,2019-05-13 15:00:00,2019-05-13 16:00:00,1.0,0.0,1.0,D47,0.0,900.0,960.0,C17R,arr,dpt
CA775,CA776,B5978,A333,PAX,0.0,PEK,PEK,2019-05-13 16:25:00,2019-05-13 18:00:00,1.0,0.0,1.0,C17,1.0,985.0,1080.0,D32,arr,dpt
CA969,CA970,B7879,B789,PAX,0.0,PEK,PEK,2019-05-13 21:55:00,2019-05-13 23:25:00,1.0,0.0,1.0,C22,1.0,1315.0,1405.0,D37,arr,dpt
CA975,CA976,B5977,A333,PAX,0.0,PEK,PEK,2019-05-13 06:30:00,2019-05-13 09:00:00,1.0,0.0,1.0,D47,1.0,390.0,540.0,D36,arr,dpt
CI751,CI751,B18361,A333,PAX,0.0,SUB,TPE,2019-05-13 19:15:00,2019-05-13 20:30:00,1.0,0.0,1.0,A21,1.0,1155.0,1230.0,B5,arr,dpt
CI752,CI752,B18306,A333,PAX,0.0,TPE,SUB,2019-05-13 09:25:00,2019-05-13 10:25:00,1.0,0.0,1.0,A5,1.0,565.0,625.0,A13,arr,dpt
CI753,CI754,B18315,A333,PAX,0.0,TPE,TPE,2019-05-13 12:25:00,2019-05-13 13:25:00,1.0,0.0,1.0,A13,1.0,745.0,805.0,B1,arr,dpt
CI7925,CI7926,B18356,A333,PAX,0.0,TPE,TPE,2019-05-13 02:15:00,2019-05-13 03:15:00,1.0,0.0,1.0,B8,1.0,135.0,195.0,B7,arr,dpt
CX635,CX636,BLXH,A35K,PAX,0.0,HKG,HKG,2019-05-13 19:10:00,2019-05-13 20:10:00,1.0,0.0,1.0,G21,1.0,1150.0,1210.0,G20,arr,dpt
CX659,CX650,BLAM,A333,PAX,0.0,HKG,HKG,2019-05-13 05:30:00,2019-05-13 06:35:00,1.0,0.0,1.0,G19,1.0,330.0,395.0,G18,arr,dpt
CX691,CX652,BLAQ,A333,PAX,0.0,HKG,HKG,2019-05-13 11:55:00,2019-05-13 12:55:00,1.0,0.0,1.0,G21,1.0,715.0,775.0,G19,arr,dpt
CX658,CX658,BHNP,B773,PAX,0.0,HKG,,2019-05-13 00:00:00,2019-05-13 09:50:00,1.0,0.0,1.0,G20,1.0,0.0,590.0,G18,arr,dpt
CX710,CX710,BLAZ,A333,PAX,0.0,HKG,,2019-05-13 00:00:00,2019-05-13 08:00:00,1.0,0.0,1.0,G21,1.0,0.0,480.0,G21,arr,dpt
CX711,CX711,BLAL,A333,PAX,0.0,,HKG,2019-05-13 20:35:00,2019-05-13 23:59:00,1.0,0.0,0.0,G18,1.0,1235.0,1439.0,G21,arr,tow
CX759,CX712,BLAK,A333,PAX,0.0,HKG,HKG,2019-05-13 12:25:00,2019-05-13 13:25:00,1.0,0.0,1.0,G19,1.0,745.0,805.0,G18,arr,dpt
CX717,CX716,BLXC,A35K,PAX,0.0,HKG,HKG,2019-05-13 15:25:00,2019-05-13 18:00:00,1.0,0.0,1.0,G21,1.0,925.0,1080.0,G19,arr,dpt
CX739,CX734,BHNR,B77W,PAX,0.0,HKG,HKG,2019-05-13 15:05:00,2019-05-13 16:05:00,1.0,0.0,1.0,G18,1.0,905.0,965.0,G18,arr,dpt
CX735,CX735,BKQE,B77W,PAX,0.0,,HKG,2019-05-13 18:25:00,2019-05-13 23:59:00,1.0,0.0,0.0,G20,1.0,1105.0,1439.0,G18,arr,tow
CZ3039,CZ3040,B6202,A319,PAX,0.0,CAN,CAN,2019-05-13 16:50:00,2019-05-13 17:50:00,1.0,0.0,1.0,C11,0.0,1010.0,1070.0,C17L,arr,dpt
CZ351,CZ351,B6303,A320,PAX,0.0,,CAN,2019-05-13 22:30:00,2019-05-13 23:59:00,1.0,0.0,0.0,C23,0.0,1350.0,1439.0,C17R,arr,tow
CZ352,CZ352,B6683,A321,PAX,0.0,CAN,,2019-05-13 00:00:00,2019-05-13 08:00:00,1.0,0.0,1.0,D38,0.0,0.0,480.0,C17L,arr,dpt
CZ353,CZ354,B1917,B738,PAX,0.0,CAN,CAN,2019-05-13 12:30:00,2019-05-13 13:30:00,1.0,0.0,1.0,C11,0.0,750.0,810.0,D35,arr,dpt
CZ8489,CZ8490,B1803,A320,PAX,0.0,CAN,CAN,2019-05-13 03:05:00,2019-05-13 03:55:00,1.0,0.0,1.0,D46,0.0,185.0,235.0,C18,arr,dpt
DL168,DL168,N1201P,B763,PAX,0.0,NRT,,2019-05-13 00:00:00,2019-05-13 05:45:00,1.0,0.0,1.0,D48,1.0,0.0,345.0,D36,arr,dpt
DL169,DL169,N176DZ,B763,PAX,0.0,,NRT,2019-05-13 23:45:00,2019-05-13 23:59:00,1.0,0.0,0.0,D34,1.0,1425.0,1439.0,D36,arr,tow
EK352,EK353,A6ECW,B77W,PAX,0.0,DXB,DXB,2019-05-13 08:50:00,2019-05-13 10:25:00,1.0,0.0,1.0,C13,1.0,530.0,625.0,C15,arr,dpt
EK404,EK404,A6EQF,B77W,PAX,0.0,MEL,DXB,2019-05-13 20:55:00,2019-05-13 22:40:00,1.0,0.0,1.0,D44,1.0,1255.0,1360.0,C13,arr,dpt
EK405,EK405,A6EQE,B77W,PAX,0.0,DXB,,2019-05-13 00:00:00,2019-05-13 01:40:00,1.0,0.0,1.0,C24,1.0,0.0,100.0,C15,arr,dpt
EK405,EK405,A6ECU,B77W,PAX,0.0,,MEL,2019-05-13 23:50:00,2019-05-13 23:59:00,1.0,0.0,0.0,C22,1.0,1430.0,1439.0,C24,arr,tow
EK432,EK432,A6ECV,B77W,PAX,0.0,BNE,DXB,2019-05-13 14:05:00,2019-05-13 15:35:00,1.0,0.0,1.0,C15,1.0,845.0,935.0,C15,arr,dpt
